data_3.csv_zigbee:39_zd_WHr_I,LOCAL 303,911924243667748
data_3.csv_zigbee:10_zd_WHr_I,LOCAL 109,976484603065030
data_3.csv_zigbee:46_zd_WHr_I,LOCAL 312,148519400876167
data_3.csv_zigbee:18_zd_WHr_I,LOCAL 121 ISADORA,708036731272765
data_3.csv_zigbee:36_zd_WHr_I,LOCAL 201,639138645191940
data_3.csv_zigbee:53_zd_WHr_I,LOCAL 205 ARGENPER,952606725425051
data_3.csv_zigbee:25_zd_WHr_I,LOCAL 101A STARBUCKS,180985220454622
data_3.csv_zigbee:43_zd_WHr_I,LOCAL 108B,701110642055468
data_3.csv_zigbee:5_zd_WHr_I,LOCAL 114,473372597723034
data_3.csv_zigbee:15_zd_WHr_I,LOCAL 124,31324193220849
data_3.csv_zigbee:32_zd_WHr_I,LOCAL 206 DOLLARCITY,22005299382371
data_3.csv_zigbee:6_zd_WHr_I,LOCAL 113 MINISO,946606425236028
data_3.csv_zigbee:29_zd_WHr_I,LOCAL 209 CASA IDEAS,.
data_3.csv_zigbee:12_zd_WHr_I,LOCAL 107,177469158438333
data_3.csv_zigbee:52_zd_WHr_I,RESERVA EQUIPADA LCE53,.
data_3.csv_zigbee:49_zd_WHr_I,LOCAL 308-309 KFC,851961474681682
data_3.csv_zigbee:16_zd_WHr_I,LOCAL 123 ADIDAS,602607705447846
data_3.csv_zigbee:20_zd_WHr_I,LOCAL 119 SUNTIME,986153495564406
data_3.csv_zigbee:45_zd_WHr_I,LOCAL 126,907703433163733
data_3.csv_zigbee:13_zd_WHr_I,LOCAL 106 CALIMOD,985928595368156
data_3.csv_zigbee:9_zd_WHr_I,LOCAL 110,616769686065447
data_1.csv_zigbee:19_zd_WHr_I,LOCAL 115 LA EMPAPADA,722308901759770
data_1.csv_zigbee:30_zd_WHr_I,RESERVA EQUIPADA LCN30,.
data_1.csv_zigbee:27_zd_WHr_I,LOCAL 210 CASA IDEAS,.
data_1.csv_zigbee:14_zd_WHr_I,LOCAL 124 ADIDAS,723869689080073
data_1.csv_zigbee:63_zd_WHr_I,LOCAL 103 BE SIFRAH,952513667615231
data_1.csv_zigbee:22_zd_WHr_I,LOCAL 107,943394216115193
data_1.csv_zigbee:3_zd_WHr_I,LOCAL  109,844089018975547
data_1.csv_zigbee:4_zd_WHr_I,LOCAL 111 MINISO,5819164598021
data_1.csv_zigbee:26_zd_WHr_I,LOCAL 102 COOLBOX,524354308009691
data_1.csv_zigbee:67_zd_WHr_I,LOCAL 122 TODO MODA,985512598979614
data_1.csv_zigbee:10_zd_WHr_I,LOCAL 114 TOPI TOP,706560843117942
data_1.csv_zigbee:28_zd_WHr_I,LOCAL 211 CASA IDEAS,.
data_1.csv_zigbee:23_zd_WHr_I,LOCAL 120 SUNTIME,46588688365950
data_1.csv_zigbee:66_zd_WHr_I,LOCAL 206 DOLLARCITY,143004408391905
