ID,zigbee:19_zd_WHr_O,zigbee:19_zd_WHr_I,zigbee:14_zd_WHr_O,zigbee:8_zd_WHr_O,zigbee:30_zd_WHr_I,zigbee:27_zd_WHr_I,zigbee:8_zd_WHr_I,zigbee:30_zd_WHr_O,zigbee:14_zd_WHr_I,zigbee:22_zd_WHr_O,zigbee:22_zd_WHr_I,zigbee:27_zd_WHr_O,zigbee:26_zd_WHr_O,zigbee:3_zd_WHr_O,zigbee:3_zd_WHr_I,zigbee:4_zd_WHr_I,zigbee:4_zd_WHr_O,zigbee:26_zd_WHr_I,zigbee:10_zd_WHr_O,zigbee:10_zd_WHr_I,zigbee:23_zd_WHr_O,zigbee:28_zd_WHr_I,zigbee:23_zd_WHr_I,zigbee:18_zd_WHr_I,zigbee:18_zd_WHr_O,zigbee:33_zd_WHr_O,zigbee:33_zd_WHr_I,zigbee:25_zd_WHr_I,zigbee:25_zd_WHr_O,zigbee:15_zd_WHr_O,zigbee:5_zd_WHr_O,zigbee:5_zd_WHr_I,zigbee:12_zd_WHr_O,zigbee:28_zd_WHr_O,zigbee:2_zd_WHr_I,zigbee:15_zd_WHr_I,zigbee:2_zd_WHr_O,zigbee:32_zd_WHr_I,zigbee:6_zd_WHr_I,zigbee:32_zd_WHr_O,zigbee:6_zd_WHr_O,zigbee:29_zd_WHr_I,zigbee:29_zd_WHr_O,zigbee:12_zd_WHr_I,zigbee:24_zd_WHr_O,zigbee:1_zd_WHr_I,zigbee:1_zd_WHr_O,zigbee:16_zd_WHr_O,zigbee:20_zd_WHr_O,zigbee:16_zd_WHr_I,zigbee:20_zd_WHr_I,zigbee:17_zd_WHr_O,zigbee:17_zd_WHr_I,zigbee:7_zd_WHr_I,zigbee:7_zd_WHr_O,zigbee:13_zd_WHr_I,zigbee:31_zd_WHr_O,zigbee:31_zd_WHr_I,modbus:1_mb_WHr_O,modbus:1_mb_WHr_I,zigbee:13_zd_WHr_O,zigbee:11_zd_WHr_I,zigbee:11_zd_WHr_O,zigbee:9_zd_WHr_I,zigbee:9_zd_WHr_O,zigbee:34_zd_WHr_I,zigbee:24_zd_WHr_I,zigbee:21_zd_WHr_O,zigbee:21_zd_WHr_I,zigbee:34_zd_WHr_O
2025/09/01 19:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,160069,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/01 20:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,161989,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/01 21:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,164484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/01 22:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,166930,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/01 23:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,169478,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,171894,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 01:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,174191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 02:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,174668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 03:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,174668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 04:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,174668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 05:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,174668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 06:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,174668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 07:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,174668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 08:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,174668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 09:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,174668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 10:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,174668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 11:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,174668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 12:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,174668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 13:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,175504,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 14:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,177734,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/02 15:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,179787,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
