"sep=;"
A;modbus:9_mb_WHr_I;modbus:8_mb_WHr_I;modbus:8_mb_WHr_I;modbus:8_mb_WHr_I;modbus:9_mb_WHr_I;modbus:9_mb_WHr_I
Device Name;TTA-1 - MEDICION EMERGENCIA;TG1 - MEDICION GENERAL;TG1 - MEDICION GENERAL;TG1 - MEDICION GENERAL;TTA-1 - MEDICION EMERGENCIA;TTA-1 - MEDICION EMERGENCIA
Device type;;;;;;
Measurement Name;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy
Measurement Unit;Wh;Wh;VArh;VArh;VArh;VArh
2025/09/10 06:20:00;43156433;42056993;5871700;8737963;1787056;15406360
2025/09/10 06:30:00;43162172;42062953;5871700;8740118;1787056;15408516
2025/09/10 06:40:00;43168044;42069046;5871700;8742239;1787056;15410637
2025/09/10 06:50:00;43173784;42075006;5871700;8744386;1787056;15412784
2025/09/10 07:00:00;43179548;42080992;5871700;8746528;1787056;15414925
2025/09/10 07:10:00;43185285;42086959;5871700;8748676;1787056;15417071
2025/09/10 07:20:00;43191030;42092924;5871700;8750819;1787056;15419213
2025/09/10 07:30:00;43196790;42098890;5871700;8752957;1787056;15421351
2025/09/10 07:40:00;43202566;42104725;5871700;8755093;1787056;15423488
2025/09/10 07:50:00;43208328;42110536;5871700;8757227;1787056;15425625
2025/09/10 08:00:00;43214110;42116473;5871700;8759372;1787056;15427771
2025/09/10 08:10:00;43219807;42122388;5871700;8761501;1787056;15429900
2025/09/10 08:20:00;43225554;42128364;5871700;8763635;1787056;15432030
2025/09/10 08:30:00;43231289;42134318;5871700;8765769;1787056;15434164
2025/09/10 08:40:00;43237017;42140265;5871700;8767907;1787056;15436302
2025/09/10 08:50:00;43242743;42146210;5871700;8770049;1787056;15438444
2025/09/10 09:00:00;43248469;42152156;5871700;8772197;1787056;15440592
2025/09/10 09:10:00;43254218;42158122;5871700;8774343;1787056;15442738
2025/09/10 09:20:00;43260012;42164109;5871700;8776487;1787056;15444882
2025/09/10 09:30:00;43265791;42169948;5871700;8778632;1787056;15447027
2025/09/10 09:40:00;43271600;42175816;5871700;8780757;1787056;15449152
2025/09/10 09:50:00;43277376;42181768;5871700;8782883;1787056;15451278
2025/09/10 10:00:00;43283106;42187717;5871700;8785022;1787056;15453417
2025/09/10 10:10:00;43288853;42193683;5871700;8787157;1787056;15455551
2025/09/10 10:20:00;43294597;42199646;5871700;8789289;1787056;15457682
2025/09/10 10:30:00;43300310;42205577;5871700;8791431;1787056;15459825
2025/09/10 10:40:00;43306035;42211519;5871700;8793567;1787056;15461960
2025/09/10 10:50:00;43311730;42217431;5871700;8795697;1787056;15464088
2025/09/10 11:00:00;43317499;42223416;5871700;8797826;1787056;15466216
2025/09/10 11:10:00;43323246;42229377;5871700;8799972;1787056;15468360
2025/09/10 11:20:00;43328992;42235271;5871700;8802126;1787056;15470513
2025/09/10 11:30:00;43334753;42241090;5871700;8804290;1787056;15472675
2025/09/10 11:40:00;43340482;42246877;5871700;8806454;1787056;15474837
2025/09/10 11:50:00;43346241;42252845;5871700;8808620;1787056;15477004
2025/09/10 12:00:00;43351976;42258797;5871700;8810785;1787056;15479168
2025/09/10 12:10:00;43357714;42264752;5871700;8812940;1787056;15481322
2025/09/10 12:20:00;43363454;42270711;5871700;8815081;1787056;15483462
2025/09/10 12:30:00;43369180;42276664;5871700;8817215;1787056;15485592
2025/09/10 12:40:00;43375097;42282796;5871700;8819323;1787056;15487695
2025/09/10 12:50:00;43381024;42288945;5871700;8821439;1787056;15489811
2025/09/10 13:00:00;43386824;42294955;5871700;8823576;1787056;15491950
2025/09/10 13:10:00;43392800;42301101;5871700;8825692;1787056;15494062
2025/09/10 13:20:00;43398908;42307328;5871722;8827696;1787056;15496154
2025/09/10 13:30:00;43404992;42313904;5871735;8829518;1787056;15498246
2025/09/10 13:40:00;43411052;42320536;5871761;8831340;1787056;15500338
2025/09/10 13:50:00;43417105;42327157;5871789;8833148;1787056;15502427
2025/09/10 14:00:00;43423140;42333754;5871805;8834984;1787056;15504510
2025/09/10 14:10:00;43429210;42340389;5871825;8836781;1787056;15506589
2025/09/10 14:20:00;43435274;42347015;5871831;8838633;1787056;15508668
2025/09/10 14:30:00;43441322;42353623;5871840;8840504;1787056;15510737
2025/09/10 14:40:00;43447367;42360226;5871842;8842357;1787056;15512795
2025/09/10 14:50:00;43453571;42366987;5872052;8843711;1787056;15514815
2025/09/10 15:00:00;43459621;42373594;5872053;8845578;1787056;15516852
2025/09/10 15:10:00;43465735;42380264;5872059;8847376;1787056;15518877
2025/09/10 15:20:00;43471827;42386911;5872059;8849264;1787056;15520903
2025/09/10 15:30:00;43477931;42393571;5872068;8851126;1787056;15522926
2025/09/10 15:40:00;43484038;42400231;5872070;8852987;1787056;15524948
2025/09/10 15:50:00;43490101;42406848;5872076;8854852;1787056;15526969
2025/09/10 16:00:00;43496172;42413471;5872076;8856742;1787056;15528994
2025/09/10 16:10:00;43502266;42420116;5872082;8858617;1787056;15531021
2025/09/10 16:20:00;43508374;42426774;5872082;8860518;1787056;15533049
2025/09/10 16:30:00;43514535;42433483;5872090;8862384;1787056;15535078
2025/09/10 16:40:00;43520667;42440163;5872090;8864290;1787056;15537111
2025/09/10 16:50:00;43526953;42447000;5872238;8865788;1787056;15539121
2025/09/10 17:00:00;43533029;42453628;5872238;8867698;1787056;15541157
2025/09/10 17:10:00;43538938;42460079;5872238;8869618;1787056;15543223
2025/09/10 17:20:00;43544853;42466558;5872238;8871516;1787056;15545277
2025/09/10 17:30:00;43550897;42473151;5872242;8873392;1787056;15547319
2025/09/10 17:40:00;43557033;42479848;5872250;8875240;1787056;15549355
2025/09/10 17:50:00;43563171;42486532;5872251;8877111;1787056;15551395
2025/09/10 18:00:00;43569280;42493198;5872261;8878966;1787056;15553435
2025/09/10 18:10:00;43575336;42499810;5872262;8880832;1787056;15555479
2025/09/10 18:20:00;43581461;42506492;5872262;8882694;1787056;15557514
2025/09/10 18:30:00;43587685;42513274;5872424;8884048;1787056;15559522
2025/09/10 18:40:00;43593735;42519882;5872424;8885893;1787056;15561547
2025/09/10 18:50:00;43599879;42526581;5872437;8887700;1787056;15563570
2025/09/10 19:00:00;43606099;42533359;5872447;8889506;1787056;15565599
2025/09/10 19:10:00;43612407;42540153;5872447;8891349;1787056;15567625
2025/09/10 19:20:00;43618621;42546581;5872447;8893376;1787056;15569651
2025/09/10 19:30:00;43624897;42552983;5872447;8895397;1787056;15571672
2025/09/10 19:40:00;43631122;42559281;5872447;8897414;1787056;15573685
2025/09/10 19:50:00;43637254;42565479;5872447;8899399;1787056;15575669
2025/09/10 20:00:00;43643337;42571768;5872447;8901408;1787056;15577677
2025/09/10 20:10:00;43648638;42577289;5872447;8903745;1787056;15580016
2025/09/10 20:20:00;43654632;42583485;5872456;8905809;1787065;15582082
2025/09/10 20:30:00;43659897;42588979;5872477;8908134;1787087;15584406
2025/09/10 20:40:00;43665765;42595061;5872488;8910228;1787097;15586499
2025/09/10 20:50:00;43671962;42601473;5872488;8912239;1787097;15588509
2025/09/10 21:00:00;43677779;42607510;5872492;8914352;1787101;15590623
2025/09/10 21:10:00;43683411;42613359;5872497;8916514;1787106;15592785
2025/09/10 21:20:00;43689135;42619287;5872515;8918671;1787123;15594942
2025/09/10 21:30:00;43694847;42625057;5872532;8920882;1787141;15597153
2025/09/10 21:40:00;43700676;42630948;5872532;8923039;1787141;15599312
2025/09/10 21:50:00;43706446;42636874;5872545;8925210;1787151;15601482
2025/09/10 22:00:00;43712535;42643182;5872545;8927249;1787151;15603520
2025/09/10 22:10:00;43718570;42649437;5872545;8929291;1787151;15605561
2025/09/10 22:20:00;43724701;42655788;5872545;8931328;1787151;15607597
2025/09/10 22:30:00;43730750;42662058;5872545;8933372;1787151;15609641
2025/09/10 22:40:00;43736817;42668342;5872545;8935427;1787151;15611694
2025/09/10 22:50:00;43743113;42674856;5872756;8937386;1787361;15613651
2025/09/10 23:00:00;43749281;42681240;5872756;8939436;1787361;15615698
2025/09/10 23:10:00;43755337;42687445;5872756;8941513;1787361;15617773
2025/09/10 23:20:00;43761353;42693509;5872756;8943585;1787361;15619847
2025/09/10 23:30:00;43767355;42699579;5872756;8945684;1787361;15621940
2025/09/10 23:40:00;43773485;42705914;5872756;8947881;1787361;15624138
2025/09/10 23:50:00;43779632;42712276;5872756;8950072;1787361;15626327
2025/09/11 00:00:00;43785731;42718602;5872756;8952265;1787361;15628514
2025/09/11 00:10:00;43791785;42724873;5872756;8954463;1787361;15630710
2025/09/11 00:20:00;43797834;42731138;5872756;8956660;1787361;15632904
2025/09/11 00:30:00;43803901;42737421;5872756;8958859;1787361;15635101
2025/09/11 00:40:00;43810084;42743821;5872756;8961044;1787361;15637284
2025/09/11 00:50:00;43816194;42750135;5872756;8963227;1787361;15639468
2025/09/11 01:00:00;43822423;42756581;5872756;8965405;1787361;15641643
2025/09/11 01:10:00;43828566;42762802;5872756;8967596;1787361;15643832
2025/09/11 01:20:00;43834581;42768879;5872756;8969793;1787361;15646028
2025/09/11 01:30:00;43840672;42775106;5872756;8971976;1787361;15648204
2025/09/11 01:40:00;43846731;42781383;5872756;8974165;1787361;15650391
2025/09/11 01:50:00;43852809;42787679;5872756;8976363;1787361;15652585
2025/09/11 02:00:00;43858875;42793964;5872756;8978571;1787361;15654790
2025/09/11 02:10:00;43864978;42800286;5872756;8980801;1787361;15657017
2025/09/11 02:20:00;43871075;42806604;5872756;8983049;1787361;15659262
2025/09/11 02:30:00;43877123;42812873;5872756;8985307;1787361;15661517
2025/09/11 02:40:00;43883257;42819226;5872756;8987557;1787361;15663763
2025/09/11 02:50:00;43889391;42825570;5872756;8989807;1787361;15666011
2025/09/11 03:00:00;43895493;42831729;5872756;8992059;1787361;15668260
2025/09/11 03:10:00;43901608;42837892;5872756;8994306;1787361;15670508
2025/09/11 03:20:00;43907408;42843851;5872756;8996590;1787361;15672790
2025/09/11 03:30:00;43913270;42849931;5872756;8998871;1787361;15675069
2025/09/11 03:40:00;43919104;42855992;5872756;9001143;1787361;15677335
2025/09/11 03:50:00;43924914;42862020;5872756;9003421;1787361;15679611
2025/09/11 04:00:00;43930711;42868024;5872756;9005702;1787361;15681893
2025/09/11 04:10:00;43936546;42874088;5872756;9007986;1787361;15684173
2025/09/11 04:20:00;43942342;42880103;5872756;9010275;1787361;15686460
2025/09/11 04:30:00;43948224;42886203;5872756;9012566;1787361;15688751
2025/09/11 04:40:00;43954036;42892225;5872756;9014851;1787361;15691038
2025/09/11 04:50:00;43959807;42898054;5872756;9017145;1787361;15693330
2025/09/11 05:00:00;43965584;42903890;5872756;9019434;1787361;15695619
2025/09/11 05:10:00;43971444;42909909;5872756;9021715;1787361;15697895
2025/09/11 05:20:00;43977313;42915998;5872756;9023984;1787361;15700163
2025/09/11 05:30:00;43983131;42922038;5872756;9026251;1787361;15702430
2025/09/11 05:40:00;43988985;42928112;5872756;9028508;1787361;15704686
2025/09/11 05:50:00;43994779;42934126;5872756;9030766;1787361;15706944
2025/09/11 06:00:00;44000608;42940176;5872756;9033021;1787361;15709199
2025/09/11 06:10:00;44006566;42946356;5872756;9035253;1787361;15711430
2025/09/11 06:20:00;44012441;42952451;5872756;9037500;1787361;15713677
2025/09/11 06:30:00;44018275;42958423;5872756;9039754;1787361;15715931
2025/09/11 06:40:00;44024064;42964270;5872756;9042000;1787361;15718177
2025/09/11 06:50:00;44029841;42970122;5872756;9044235;1787361;15720413
2025/09/11 07:00:00;44035658;42976159;5872756;9046470;1787361;15722647
2025/09/11 07:10:00;44041449;42982170;5872756;9048706;1787361;15724884
2025/09/11 07:20:00;44047252;42988193;5872756;9050941;1787361;15727119
2025/09/11 07:30:00;44053078;42994239;5872756;9053177;1787361;15729355
2025/09/11 07:40:00;44058902;43000283;5872756;9055415;1787361;15731594
2025/09/11 07:50:00;44064710;43006312;5872756;9057652;1787361;15733831
2025/09/11 08:00:00;44070501;43012323;5872756;9059888;1787361;15736067
2025/09/11 08:10:00;44076291;43018288;5872756;9062124;1787361;15738304
2025/09/11 08:20:00;44082066;43024121;5872756;9064361;1787361;15740541
2025/09/11 08:30:00;44087895;43030008;5872756;9066593;1787361;15742773
2025/09/11 08:40:00;44093860;43036173;5872756;9068821;1787361;15745002
2025/09/11 08:50:00;44099698;43042232;5872756;9071054;1787361;15747235
2025/09/11 09:00:00;44105496;43048251;5872756;9073294;1787361;15749475
2025/09/11 09:10:00;44111368;43054344;5872756;9075527;1787361;15751708
2025/09/11 09:20:00;44117243;43060440;5872756;9077752;1787361;15753933
2025/09/11 09:30:00;44123035;43066453;5872756;9079997;1787361;15756179
2025/09/11 09:40:00;44128820;43072458;5872756;9082242;1787361;15758424
2025/09/11 09:50:00;44134645;43078492;5872756;9084481;1787361;15760667
2025/09/11 10:00:00;44140476;43084397;5872756;9086727;1787361;15762913
2025/09/11 10:10:00;44146271;43090251;5872756;9088970;1787361;15765155
2025/09/11 10:20:00;44152063;43096179;5872756;9091211;1787361;15767397
2025/09/11 10:30:00;44157836;43102171;5872756;9093468;1787361;15769653
2025/09/11 10:40:00;44163611;43108165;5872756;9095717;1787361;15771902
2025/09/11 10:50:00;44169406;43114178;5872756;9097965;1787361;15774149
2025/09/11 11:00:00;44175214;43120204;5872756;9100210;1787361;15776394
2025/09/11 11:10:00;44181023;43126228;5872756;9102464;1787361;15778646
2025/09/11 11:20:00;44186828;43132248;5872756;9104721;1787361;15780902
2025/09/11 11:30:00;44192631;43138266;5872756;9106984;1787361;15783163
2025/09/11 11:40:00;44198420;43144287;5872756;9109265;1787361;15785438
2025/09/11 11:50:00;44204277;43150261;5872756;9111539;1787361;15787711
2025/09/11 12:00:00;44210096;43156129;5872756;9113813;1787361;15789988
2025/09/11 12:10:00;44215916;43162049;5872756;9116076;1787361;15792246
2025/09/11 12:20:00;44221897;43168252;5872756;9118300;1787361;15794469
2025/09/11 12:30:00;44227793;43174368;5872756;9120546;1787361;15796714
2025/09/11 12:40:00;44233736;43180531;5872756;9122785;1787361;15798953
2025/09/11 12:50:00;44239645;43186661;5872756;9125029;1787361;15801197
2025/09/11 13:00:00;44245532;43192771;5872756;9127274;1787361;15803440
2025/09/11 13:10:00;44251585;43199043;5872756;9129494;1787361;15805659
2025/09/11 13:20:00;44257734;43205412;5872756;9131697;1787361;15807861
2025/09/11 13:30:00;44263949;43211741;5872756;9133895;1787361;15810057
2025/09/11 13:40:00;44270143;43218008;5872756;9136087;1787361;15812253
2025/09/11 13:50:00;44276330;43224705;5872789;9137966;1787361;15814450
2025/09/11 14:00:00;44282582;43231529;5872818;9139801;1787361;15816642
2025/09/11 14:10:00;44288752;43238268;5872818;9141727;1787361;15818831
2025/09/11 14:20:00;44294859;43244943;5872831;9143725;1787361;15821019
2025/09/11 14:30:00;44301101;43251750;5872862;9145529;1787361;15823186
2025/09/11 14:40:00;44307407;43258465;5872915;9147417;1787361;15825317
2025/09/11 14:50:00;44313610;43264884;5872915;9149561;1787361;15827458
2025/09/11 15:00:00;44319804;43271391;5872919;9151651;1787361;15829591
2025/09/11 15:10:00;44326019;43278168;5872942;9153524;1787361;15831716
2025/09/11 15:20:00;44332219;43284919;5872942;9155388;1787361;15833839
2025/09/11 15:30:00;44338296;43291497;5872960;9157368;1787370;15836006
2025/09/11 15:40:00;44343763;43297302;5873012;9159557;1787407;15838311
2025/09/11 15:50:00;44349476;43303461;5873078;9161481;1787416;15840475
2025/09/11 16:00:00;44355050;43309436;5873130;9163535;1787444;15842673
2025/09/11 16:10:00;44360775;43315591;5873153;9165532;1787444;15844848
2025/09/11 16:20:00;44365978;43321067;5873174;9167810;1787453;15847177
2025/09/11 16:30:00;44371487;43326952;5873212;9169897;1787472;15849408
2025/09/11 16:40:00;44377589;43333619;5873282;9171565;1787472;15851442
2025/09/11 16:50:00;44383753;43340340;5873334;9173244;1787472;15853484
2025/09/11 17:00:00;44389339;43346300;5873386;9175335;1787508;15855713
2025/09/11 17:10:00;44395037;43352463;5873405;9177376;1787517;15857885
2025/09/11 17:20:00;44400738;43358599;5873448;9179416;1787533;15860074
2025/09/11 17:30:00;44406888;43365320;5873511;9181174;1787534;15862118
2025/09/11 17:40:00;44413204;43372201;5873917;9182381;1787534;15864141
2025/09/11 17:50:00;44419236;43378796;5873952;9184204;1787534;15866195
2025/09/11 18:00:00;44425302;43385413;5873981;9186033;1787534;15868255
2025/09/11 18:10:00;44431449;43392136;5874063;9187724;1787534;15870310
2025/09/11 18:20:00;44437558;43398797;5874140;9189408;1787534;15872369
2025/09/11 18:30:00;44443677;43405492;5874207;9191020;1787534;15874427
2025/09/11 18:40:00;44449768;43412149;5874246;9192720;1787534;15876482
2025/09/11 18:50:00;44455838;43418783;5874312;9194441;1787534;15878532
2025/09/11 19:00:00;44461883;43425391;5874330;9196286;1787534;15880587
2025/09/11 19:10:00;44467918;43431986;5874343;9198111;1787534;15882644
2025/09/11 19:20:00;44474187;43438815;5874599;9199396;1787535;15884665
2025/09/11 19:30:00;44480313;43445500;5874631;9201169;1787535;15886713
2025/09/11 19:40:00;44486399;43452143;5874651;9202981;1787535;15888763
2025/09/11 19:50:00;44492728;43459033;5875077;9204034;1787535;15890779
2025/09/11 20:00:00;44499224;43466084;5875656;9204743;1787535;15892778
2025/09/11 20:10:00;44505678;43473091;5876230;9205510;1787535;15894781
2025/09/11 20:20:00;44511746;43479716;5876237;9207280;1787535;15896822
2025/09/11 20:30:00;44517777;43485880;5876237;9209330;1787535;15898879
2025/09/11 20:40:00;44523882;43492043;5876237;9211380;1787535;15900928
